product_id||product_category_name||product_name_lenght||product_description_lenght||product_photos_qty||product_weight_g||product_length_cm||product_height_cm||product_width_cm
78efe838c04bbc568be034082200ac20||moveis_decoracao||57||272||1||2500||40||10||30
b5466db4cecf95c3c1be0ba32538ce1a||informatica_acessorios||37||322||3||100||16||3||13
124f74f703e88efe001a10bfa718b6ff||||||||||250||15||8||20
6b874ff4c71d18e91079b40396bf176a||automotivo||41||1117||8||300||31||17||27
08401f48b67a852d06105725c3013eff||brinquedos||58||739||5||350||28||10||12
3fc00af0f0a8d4ac2933d3900416c977||climatizacao||59||624||5||2000||20||10||20
0be701e03657109a8a4d5168122777fb||esporte_lazer||32||282||2||4450||60||15||15
632ba0c3ace598871c24c49380796d57||informatica_acessorios||51||1245||1||2950||18||25||18
